,Unnamed: 0,Provider,Provider Country,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Customer Price,Device,Supported Platforms
226,226,APPLE,US,0.0,12/1/2007,12/1/2007,USD,AO,USD,0.0,iPhone,iOS
228,228,APPLE,US,0.0,12/1/2007,12/1/2007,HRK,HR,HRK,0.0,iPhone,iOS
229,229,APPLE,US,6.99,12/1/2007,12/1/2007,NZD,NZ,NZD,11.49,iPhone,iOS
230,230,APPLE,US,3.47,12/1/2007,12/1/2007,GBP,GB,GBP,5.99,iPhone,iOS
231,231,APPLE,US,3.98,12/1/2007,12/1/2007,EUR,IT,EUR,6.99,iPhone,iOS
232,232,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,CY,EUR,0.0,iPhone,iOS
233,233,APPLE,US,76.99,12/1/2007,12/1/2007,EGP,EG,EGP,109.99,iPhone,iOS
234,234,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,IT,EUR,0.0,iPhone,iOS
235,235,APPLE,US,0.0,12/1/2007,12/1/2007,SGD,SG,SGD,0.0,iPhone,iOS
236,236,APPLE,US,4.02,12/1/2007,12/1/2007,EUR,FR,EUR,6.99,iPhone,iOS
237,237,APPLE,US,42.8,12/1/2007,12/1/2007,TRY,TR,TRY,77.99,iPhone,iOS
239,239,APPLE,US,6.68,12/1/2007,12/1/2007,AUD,AU,AUD,10.49,iPhone,iOS
240,240,APPLE,US,1868.75,12/1/2007,12/1/2007,KZT,KZ,KZT,2990.0,iPhone,iOS
241,241,APPLE,US,6.29,12/1/2007,12/1/2007,CAD,CA,CAD,8.99,iPhone,iOS
242,242,APPLE,US,42.8,12/1/2007,12/1/2007,TRY,TR,TRY,77.99,iPhone,iOS
243,243,APPLE,US,3.47,12/1/2007,12/1/2007,GBP,GB,GBP,5.99,iPhone,iOS
247,247,APPLE,US,349.42,12/1/2007,12/1/2007,RUB,RU,RUB,599.0,iPhone,iOS
248,248,APPLE,US,0.0,12/1/2007,12/1/2007,ZAR,ZA,ZAR,0.0,iPhone,iOS
249,249,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,IE,EUR,0.0,iPhone,iOS
250,250,APPLE,US,19352.94,12/1/2007,12/1/2007,COP,CO,COP,32900.0,iPhone,iOS
251,251,APPLE,US,73.04,12/1/2007,12/1/2007,ZAR,ZA,ZAR,119.99,iPhone,iOS
252,252,APPLE,US,0.0,12/1/2007,12/1/2007,HKD,HK,HKD,0.0,iPad,iOS
253,253,APPLE,US,4.9,12/1/2007,12/1/2007,USD,CI,USD,6.99,iPhone,iOS
254,254,APPLE,US,4.08,12/1/2007,12/1/2007,USD,UA,USD,6.99,iPhone,iOS
255,255,APPLE,US,19352.94,12/1/2007,12/1/2007,COP,CO,COP,32900.0,iPhone,iOS
256,256,APPLE,US,0.0,12/1/2007,12/1/2007,BRL,BR,BRL,0.0,iPhone,iOS
257,257,APPLE,US,0.0,12/1/2007,12/1/2007,USD,US,USD,0.0,iPhone,iOS
258,258,APPLE,US,0.0,12/1/2007,12/1/2007,USD,MZ,USD,0.0,iPhone,iOS
259,259,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,IT,EUR,0.0,iPhone,iOS
260,260,APPLE,US,0.0,12/1/2007,12/1/2007,CHF,CH,CHF,0.0,iPhone,iOS
264,264,APPLE,US,3824.0,12/1/2007,12/1/2007,CLP,CL,CLP,6500.0,iPhone,iOS
265,265,APPLE,US,4.04,12/1/2007,12/1/2007,EUR,LT,EUR,6.99,iPhone,iOS
266,266,APPLE,US,15.33,12/1/2007,12/1/2007,ILS,IL,ILS,21.9,iPhone,iOS
267,267,APPLE,US,5664.0,12/1/2007,12/1/2007,KRW,KR,KRW,8900.0,iPhone,iOS
268,268,APPLE,US,0.0,12/1/2007,12/1/2007,USD,BH,USD,0.0,iPhone,iOS
269,269,APPLE,US,111300.0,12/1/2007,12/1/2007,VND,VN,VND,159000.0,iPhone,iOS
271,271,APPLE,US,6.29,12/1/2007,12/1/2007,CAD,CA,CAD,8.99,iPhone,iOS
272,272,APPLE,US,4.89,12/1/2007,12/1/2007,USD,AL,USD,8.39,iPhone,iOS
274,274,APPLE,US,6.29,12/1/2007,12/1/2007,CAD,CA,CAD,8.99,iPhone,iOS
276,276,APPLE,US,0.0,12/1/2007,12/1/2007,SAR,SA,SAR,0.0,iPad,iOS
277,277,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,IT,EUR,0.0,iPad,iOS
278,278,APPLE,US,0.0,12/1/2007,12/1/2007,CLP,CL,CLP,0.0,iPhone,iOS
280,280,APPLE,US,99.57,12/1/2007,12/1/2007,MXN,MX,MXN,165.0,iPhone,iOS
281,281,APPLE,US,0.0,12/1/2007,12/1/2007,RON,RO,RON,0.0,iPhone,iOS
282,282,APPLE,US,4.15,12/1/2007,12/1/2007,USD,UG,USD,6.99,iPhone,iOS
283,283,APPLE,US,4.9,12/1/2007,12/1/2007,USD,MO,USD,6.99,iPhone,iOS
284,284,APPLE,US,3.98,12/1/2007,12/1/2007,EUR,IT,EUR,6.99,iPhone,iOS
285,285,APPLE,US,0.0,12/1/2007,12/1/2007,USD,UA,USD,0.0,iPhone,iOS
286,286,APPLE,US,1868.75,12/1/2007,12/1/2007,KZT,KZ,KZT,2990.0,iPhone,iOS
287,287,APPLE,US,0.0,12/1/2007,12/1/2007,USD,BS,USD,0.0,iPhone,iOS
288,288,APPLE,US,4.9,12/1/2007,12/1/2007,USD,GH,USD,6.99,iPhone,iOS
289,289,APPLE,US,1.73,12/1/2007,12/1/2007,EUR,ES,EUR,-3.0,iPhone,iOS
