,media_source,date,geo,cost,currency
325,source_3,2007-12-01,SH,0.0,USD
326,source_1,2007-12-06,SL,0.5,USD
327,source_1,2007-12-07,SN,0.7999999821,USD
328,source_1,2007-12-07,SG,0.0,USD
329,source_4,2007-12-01,CA,0.0,USD
330,source_1,2007-12-03,AR,0.2399999946,USD
331,source_3,2007-12-06,SX,0.134548,USD
332,source_2,2007-12-06,LC,0.0254349999,USD
333,source_1,2007-12-03,HT,0.0,USD
334,source_3,2007-12-05,EG,0.0,USD
335,source_3,2007-12-01,AT,17.935434,USD
336,source_3,2007-12-02,AM,1.809964,USD
337,source_2,2007-12-07,BD,0.0,USD
338,source_4,2007-12-03,US,0.0,USD
339,source_2,2007-12-03,CY,3.1381209738,USD
340,source_3,2007-12-06,PL,6.724645,USD
341,source_3,2007-12-07,DO,4.273324,USD
342,source_3,2007-12-03,FR,19.942228,USD
343,source_1,2007-12-04,BW,0.0,USD
344,source_3,2007-12-07,VE,1.210652,USD
345,source_3,2007-12-01,GN,0.309458,USD
346,source_10,2007-12-02,US,0.0,USD
347,source_3,2007-12-02,CW,0.563008,USD
348,source_1,2007-12-07,BE,9.3000001907,USD
349,source_2,2007-12-03,RU,0.0,USD
350,source_5,2007-12-02,DO,0.0,USD
351,source_1,2007-12-07,LU,0.0,USD
352,source_3,2007-12-07,VG,0.155228,USD
353,source_1,2007-12-04,LC,0.3840000033,USD
354,source_2,2007-12-02,MS,0.0024540001,USD
355,source_3,2007-12-02,RO,2.661282,USD
356,source_2,2007-12-01,PM,0.0066670002,USD
357,source_2,2007-12-06,KE,0.2703230016,USD
358,source_2,2007-12-02,NG,0.4123050008,USD
359,source_6,2007-12-02,KR,0.0,USD
360,source_7,2007-12-03,IN,0.0,USD
361,source_3,2007-12-05,UZ,0.0,USD
362,source_5,2007-12-02,CA,0.0,USD
363,source_1,2007-12-02,NG,0.0,USD
364,source_1,2007-12-06,GM,0.1700000018,USD
365,source_2,2007-12-01,MV,0.0901099994,USD
366,source_2,2007-12-04,MC,0.17543,USD
367,source_6,2007-12-05,IQ,0.0,USD
368,source_1,2007-12-03,KR,0.0,USD
369,source_2,2007-12-01,MX,139.4859685136,USD
370,source_3,2007-12-03,TJ,0.339299,USD
371,source_6,2007-12-06,IN,0.0,USD
372,source_8,2007-12-03,UK,0.0,USD
373,source_3,2007-12-01,TR,21.924161,USD
374,source_6,2007-12-01,GU,0.0,USD
375,source_1,2007-12-06,CZ,0.0,USD
376,source_1,2007-12-02,GQ,0.0,USD
377,source_7,2007-12-06,JO,0.0,USD
378,source_1,2007-12-07,HN,0.4399999976,USD
379,source_2,2007-12-07,TH,0.2909239986,USD
380,source_7,2007-12-04,TR,0.0,USD
381,source_2,2007-12-01,DK,11.2573220702,USD
382,source_2,2007-12-05,DO,1.2097889999,USD
383,source_1,2007-12-05,CV,0.0,USD
384,source_2,2007-12-07,HR,2.0015150036,USD
385,source_3,2007-12-05,KM,0.041323,USD
386,source_3,2007-12-06,ID,0.03113,USD
387,source_2,2007-12-06,FJ,0.1360240001,USD
388,source_3,2007-12-06,MR,0.155561,USD
389,source_1,2007-12-01,MF,0.0,USD
390,source_5,2007-12-06,SE,0.0,USD
391,source_3,2007-12-05,GF,0.31178,USD
392,source_2,2007-12-03,MQ,0.7716450007,USD
393,source_7,2007-12-05,PR,0.0,USD
394,source_2,2007-12-04,MU,0.0,USD
395,source_7,2007-12-06,PE,0.0,USD
396,source_3,2007-12-02,DE,3.526855,USD
397,source_3,2007-12-06,TK,0.0,USD
398,source_5,2007-12-03,AZ,0.0,USD
399,source_1,2007-12-07,CY,0.5,USD
400,source_1,2007-12-07,BR,0.0,USD
401,source_1,2007-12-01,RE,0.0,USD
402,source_3,2007-12-05,SC,0.32476,USD
403,source_3,2007-12-06,CZ,1.205371,USD
404,source_6,2007-12-07,HK,0.0,USD
405,source_8,2007-12-01,IE,0.0,USD
406,source_1,2007-12-01,CR,3.6399999112,USD
407,source_3,2007-12-02,MQ,0.135389,USD
408,source_3,2007-12-01,TM,0.227971,USD
409,source_3,2007-12-04,CK,0.081692,USD
410,source_3,2007-12-04,GY,0.626172,USD
411,source_2,2007-12-06,MF,0.135291,USD
412,source_1,2007-12-04,AD,0.3000000119,USD
413,source_2,2007-12-02,AE,0.0,USD
414,source_3,2007-12-05,TH,0.0,USD
415,source_2,2007-12-04,SX,0.0,USD
416,source_3,2007-12-03,GT,1.323937,USD
417,source_1,2007-12-03,NL,0.6000000238,USD
418,source_1,2007-12-03,AS,0.0,USD
419,source_5,2007-12-05,CO,0.0,USD
420,source_1,2007-12-02,IT,4.4800000191,USD
421,source_3,2007-12-07,AI,0.123945,USD
422,source_3,2007-12-04,EE,3.470675,USD
423,source_3,2007-12-01,LV,4.742629,USD
424,source_2,2007-12-01,US,0.214001,USD
425,source_3,2007-12-03,QA,9.319731,USD
426,source_1,2007-12-02,PW,0.0,USD
427,source_2,2007-12-03,JP,0.0,USD
428,source_1,2007-12-03,PE,0.0,USD
429,source_2,2007-12-03,BQ,0.0,USD
430,source_1,2007-12-02,CA,0.0,USD
431,source_8,2007-12-05,US,0.0,USD
432,source_1,2007-12-05,MD,0.9900000393,USD
433,source_3,2007-12-07,BS,1.613512,USD
434,source_11,2007-12-07,US,0.0,USD
435,source_2,2007-12-02,UG,2.1846199914,USD
436,source_4,2007-12-07,DE,0.0,USD
437,source_1,2007-12-04,IN,0.0,USD
438,source_2,2007-12-03,MT,0.0408699989,USD
439,source_3,2007-12-07,GQ,0.113768,USD
440,source_3,2007-12-02,VC,0.051809,USD
441,source_3,2007-12-04,AW,0.340742,USD
442,source_3,2007-12-05,LB,1.742583,USD
443,source_7,2007-12-02,KE,0.0,USD
444,source_2,2007-12-03,GP,1.8688949949,USD
445,source_1,2007-12-07,BN,1.1200000048,USD
446,source_3,2007-12-07,VI,0.636334,USD
447,source_5,2007-12-06,CY,0.0,USD
448,source_3,2007-12-04,IL,7.935062,USD
449,source_5,2007-12-04,GR,0.0,USD
450,source_3,2007-12-01,NZ,25.55411,USD
451,source_2,2007-12-06,AL,0.0,USD
452,source_2,2007-12-02,CM,1.0876819907,USD
453,source_3,2007-12-02,,2.792058,USD
454,source_2,2007-12-05,GY,0.0887409989,USD
455,source_1,2007-12-05,MH,0.0,USD
456,source_7,2007-12-02,ZW,0.0,USD
457,source_3,2007-12-07,TT,1.662364,USD
458,source_8,2007-12-01,AE,0.0,USD
459,source_1,2007-12-05,BS,0.5640000105,USD
460,source_2,2007-12-05,FI,4.9579800147,USD
461,source_3,2007-12-03,SL,1.248032,USD
462,source_2,2007-12-01,FM,0.0130159998,USD
463,source_7,2007-12-05,CZ,0.0,USD
464,source_1,2007-12-07,NI,0.0,USD
465,source_3,2007-12-03,CM,2.815027,USD
466,source_1,2007-12-05,LS,0.0,USD
467,source_2,2007-12-07,LU,0.1087190016,USD
468,source_3,2007-12-01,DK,8.252016,USD
469,source_2,2007-12-06,BW,0.0741789992,USD
470,source_2,2007-12-02,CA,7.7037149895,USD
471,source_3,2007-12-02,KZ,10.19689,USD
472,source_3,2007-12-07,MF,0.129092,USD
473,source_2,2007-12-02,OM,0.0,USD
474,source_8,2007-12-07,NO,0.0,USD
475,source_1,2007-12-05,UY,0.0,USD
476,source_1,2007-12-01,GR,0.3000000045,USD
477,source_1,2007-12-03,ES,1.4799999744,USD
478,source_1,2007-12-05,KY,0.0,USD
479,source_3,2007-12-03,RE,0.53399,USD
480,source_3,2007-12-04,CG,0.280131,USD
481,source_3,2007-12-04,IT,8.269454,USD
482,source_3,2007-12-02,CY,8.342317,USD
483,source_2,2007-12-06,SM,0.0087150001,USD
484,source_5,2007-12-06,MK,0.0,USD
485,source_8,2007-12-03,DK,0.0,USD
486,source_1,2007-12-01,CH,3.0,USD
487,source_3,2007-12-03,NG,0.144406,USD
488,source_2,2007-12-04,UK,5.6305199751,USD
489,source_2,2007-12-04,TT,6.057940965,USD
490,source_3,2007-12-01,GD,0.189175,USD
491,source_1,2007-12-06,AF,0.8400000036,USD
