,Unnamed: 0,Date Time,Event Name,Region,Language,Platform,Device Type,OS Version,Is Retargeting
365,696,2007-12-3,trial_started,,,ios,,15.6.1,False
366,697,2007-12-3,trial_started,,,ios,,14.8.1,False
367,699,2007-12-3,trial_started,,,ios,,15.6,False
368,700,2007-12-5,trial_converted,,,ios,,15.6,False
369,702,2007-12-3,trial_started,SA,,ios,,14.8.1,False
370,703,2007-12-6,trial_converted,,,ios,,15.6.1,False
371,704,2007-12-3,trial_started,,,ios,,15.6,False
372,705,2007-12-6,trial_converted,,,ios,,15.6,False
373,706,2007-12-6,trial_converted,EU,,ios,,15.6.1,False
374,710,2007-12-6,trial_converted,,,ios,,15.5,False
375,712,2007-12-3,trial_started,,,ios,,15.6.1,False
376,713,2007-12-5,trial_converted,,,ios,,15.6.1,False
377,716,2007-12-3,trial_started,,,ios,,15.6,False
378,717,2007-12-6,trial_converted,,,ios,,15.6,False
379,719,2007-12-6,trial_converted,,,ios,,15.6.1,False
380,720,2007-12-6,trial_converted,,,ios,,15.5,False
381,722,2007-12-3,trial_started,,,ios,,15.6.1,False
382,723,2007-12-3,trial_started,,,ios,,15.4.1,False
383,724,2007-12-6,trial_converted,,,ios,,15.6.1,False
384,725,2007-12-5,trial_converted,,,ios,,15.1.1,False
385,726,2007-12-6,trial_converted,,,ios,,15.6.1,False
386,728,2007-12-3,trial_started,EU,,ios,,15.6.1,False
387,730,2007-12-7,trial_converted,SA,,ios,,15.6.1,False
388,732,2007-12-3,trial_started,,,ios,,15.6,False
389,734,2007-12-3,trial_started,,,ios,,15.6.1,False
390,735,2007-12-3,trial_started,EU,,ios,,15.6.1,False
391,737,2007-12-3,trial_started,,,ios,,15.6,False
392,738,2007-12-6,trial_converted,,,ios,,15.5,False
393,739,2007-12-6,trial_converted,,,ios,,15.6.1,False
394,740,2007-12-6,trial_converted,EU,,ios,,15.5,False
395,741,2007-12-3,trial_started,,,ios,,15.6.1,False
396,742,2007-12-3,trial_started,,,ios,,15.6.1,False
397,743,2007-12-3,trial_started,EU,,ios,,15.6.1,False
398,744,2007-12-6,trial_converted,,,ios,,15.6,False
399,745,2007-12-3,trial_started,EU,,ios,,15.5,False
400,747,2007-12-3,trial_started,,,ios,,15.6.1,False
401,749,2007-12-3,trial_started,,,ios,,15.5,False
402,751,2007-12-4,trial_started,EU,,ios,,15.6.1,False
403,754,2007-12-3,trial_started,,,ios,,15.6.1,False
404,759,2007-12-3,trial_started,EU,,ios,,15.6.1,False
405,761,2007-12-4,trial_started,,,ios,,15.6.1,False
406,762,2007-12-7,trial_converted,EU,,ios,,15.6.1,False
407,766,2007-12-3,trial_started,AF,,ios,,14.4.2,False
408,767,2007-12-3,trial_started,EU,,ios,,15.6,False
409,773,2007-12-3,trial_started,,,ios,,15.6.1,False
410,774,2007-12-3,trial_started,EU,,ios,,15.6.1,False
411,775,2007-12-3,trial_started,,,ios,,15.6,False
412,777,2007-12-3,trial_started,,,ios,,15.6.1,False
413,780,2007-12-3,trial_started,,,ios,,15.5,False
414,781,2007-12-3,trial_started,,,ios,,15.6.1,False
415,783,2007-12-3,trial_started,,,ios,,15.6.1,False
416,785,2007-12-3,trial_started,,,ios,,15.6,False
417,786,2007-12-6,trial_converted,,,ios,,15.5,False
418,788,2007-12-3,trial_started,,,ios,,15.6.1,False
419,790,2007-12-3,trial_started,SA,,ios,,15.6.1,False
420,793,2007-12-3,trial_started,,,ios,,15.6.1,False
421,795,2007-12-3,trial_started,EU,,ios,,15.6,False
422,799,2007-12-3,trial_started,AF,,ios,,14.2,False
423,801,2007-12-6,trial_converted,EU,,ios,,15.6.1,False
424,803,2007-12-3,trial_started,,,ios,,15.6.1,False
425,806,2007-12-7,trial_converted,EU,,ios,,15.6.1,False
426,807,2007-12-3,trial_started,EU,,ios,,15.5,False
427,808,2007-12-3,trial_started,,,ios,,15.6.1,False
428,810,2007-12-3,trial_started,,,ios,,15.2,False
429,811,2007-12-3,trial_started,EU,,ios,,15.6.1,False
430,813,2007-12-3,trial_started,,,ios,,15.6.1,False
431,815,2007-12-3,trial_started,AF,,ios,,14.4.2,False
432,818,2007-12-3,trial_started,EU,,ios,,15.6,False
433,819,2007-12-3,trial_started,,,ios,,15.6,False
434,820,2007-12-6,trial_converted,,,ios,,15.6.1,False
435,821,2007-12-6,trial_converted,AU,,ios,,15.6.1,False
436,824,2007-12-3,trial_started,AF,,ios,,14.4.2,False
437,826,2007-12-3,trial_started,EU,,ios,,15.5,False
438,828,2007-12-3,trial_started,,,ios,,14.4.1,False
439,829,2007-12-6,trial_converted,EU,,ios,,14.8.1,False
440,833,2007-12-3,trial_started,EU,,ios,,15.6.1,False
441,835,2007-12-3,trial_started,,,ios,,15.6.1,False
442,837,2007-12-6,trial_converted,EU,,ios,,15.5,False
443,838,2007-12-6,trial_converted,EU,,ios,,13.6.1,False
444,841,2007-12-3,trial_started,,,ios,,15.6.1,False
445,843,2007-12-3,trial_started,EU,,ios,,14.8.1,False
446,844,2007-12-3,trial_started,EU,,ios,,15.6.1,False
447,846,2007-12-3,trial_started,EU,,ios,,15.5,False
448,847,2007-12-6,trial_converted,EU,,ios,,15.5,False
449,849,2007-12-3,trial_started,,,ios,,15.4.1,False
450,851,2007-12-7,trial_converted,EU,,ios,,15.5,False
451,853,2007-12-3,trial_started,EU,,ios,,15.5,False
452,855,2007-12-3,trial_started,EU,,ios,,15.6,False
453,856,2007-12-3,trial_started,AU,,ios,,15.6.1,False
454,857,2007-12-3,trial_started,EU,,ios,,15.3.1,False
455,859,2007-12-3,trial_started,,,ios,,14.4,False
